model_choice,feature_choice,reducer_choice,n_components,y_scale,train_rmse,val_rmse,test_rmse,s_kl,s_rmlse,t_kl,t_rmlse,model_path
cnn,all,fa,6,origin,12.642231468399999,12.637042250999999,11.5245290546,0.0989754427009,0.7196860722830001,0.119972853281,0.777662639756,./logs/0aa37c0a-316a-11e8-ad1e-d094662bd47d/best_model_4_2.h5
cnn,all,fa,6,origin,10.4528112787,10.8599830848,11.559342498,0.07248776558730001,0.643974077452,0.123574815094,0.7554229272949999,./logs/50814b0e-318c-11e8-ac9d-d094662bd47d/best_model_3_0.h5
cnn,all,fa,14,origin,9.84408726773,10.6679016143,11.7639947811,0.06430097909640001,0.634465070598,0.1248589686,0.731417745276,./logs/50814b0e-318c-11e8-ac9d-d094662bd47d/best_model_7_0.h5
cnn,all,pca,6,origin,11.471419438,12.1280214892,11.659794803499999,0.0886829282351,0.67521657535,0.124862925944,0.777271890345,./logs/50814b0e-318c-11e8-ac9d-d094662bd47d/best_model_2_1.h5
cnn,all,fa,2,origin,12.6566880507,12.464592584000002,11.733048258599998,0.101104378967,0.7284276458230001,0.12612575592,0.800153354355,./logs/0aa37c0a-316a-11e8-ad1e-d094662bd47d/best_model_1_2.h5
cnn,all,pca,6,origin,12.397812746800001,12.446161353199999,11.789400945999999,0.0965288256532,0.7203329080699999,0.127284106328,0.8240939194879999,./logs/0aa37c0a-316a-11e8-ad1e-d094662bd47d/best_model_3_3.h5
cnn,all,fa,2,origin,12.618683060599999,12.3369803106,11.797237333499998,0.100702655933,0.740029251323,0.128649668771,0.831264711495,./logs/50814b0e-318c-11e8-ac9d-d094662bd47d/best_model_1_2.h5
cnn,all,fa,10,origin,11.382929346,11.407775981099999,12.322527279200001,0.08171269361889999,0.714280895253,0.129946176874,0.790810441409,./logs/50814b0e-318c-11e8-ac9d-d094662bd47d/best_model_5_0.h5
cnn,all,all,-1,origin,8.479028639680001,9.355868199069999,12.1332934508,0.0488678758528,0.560364300611,0.133360111094,0.7444004179170001,./logs/50814b0e-318c-11e8-ac9d-d094662bd47d/best_model_16_0.h5
cnn,all,fa,18,origin,11.1069497608,11.557330173599999,12.2873085878,0.0779040022071,0.6855398504979999,0.136457947793,0.817085784896,./logs/50814b0e-318c-11e8-ac9d-d094662bd47d/best_model_9_0.h5
cnn,all,fa,26,origin,10.0859000073,10.743567199300001,12.2405841593,0.06661275489889999,0.640185357784,0.13727554019000002,0.8076912555879999,./logs/50814b0e-318c-11e8-ac9d-d094662bd47d/best_model_13_0.h5
cnn,all,pca,2,origin,12.6060080397,12.6257121389,12.130439346400001,0.0985613391102,0.725828891346,0.13752557247400002,0.851731621707,./logs/0aa37c0a-316a-11e8-ad1e-d094662bd47d/best_model_0_2.h5
cnn,all,fa,22,origin,9.73756270141,10.322941668,11.9003193629,0.06237269517640001,0.622641599054,0.137768124148,0.7655846902760001,./logs/50814b0e-318c-11e8-ac9d-d094662bd47d/best_model_11_0.h5
cnn,all,fa,30,origin,9.478938899500001,10.2986395833,11.9278357675,0.06130570275769999,0.6221639539239999,0.141918636663,0.8501361782410001,./logs/50814b0e-318c-11e8-ac9d-d094662bd47d/best_model_15_0.h5
cnn,all,pca,2,origin,12.708128800899999,12.617728962300001,12.200976501300001,0.10080358086300001,0.740841872466,0.14212285654,0.889267761156,./logs/50814b0e-318c-11e8-ac9d-d094662bd47d/best_model_0_2.h5
cnn,all,pca,10,origin,12.491171703,12.6188686477,12.2407928105,0.0972432932663,0.718838987844,0.142178563444,0.8842567220440001,./logs/50814b0e-318c-11e8-ac9d-d094662bd47d/best_model_4_2.h5
cnn,all,pca,14,origin,11.407554256400001,11.6016663089,12.884577781700001,0.07945485899089999,0.6536892039509999,0.151377894232,0.847703233117,./logs/50814b0e-318c-11e8-ac9d-d094662bd47d/best_model_6_1.h5
cnn,all,pca,26,origin,11.5903153154,11.4264324684,12.6197948633,0.08221415479010001,0.6704220633910001,0.151777335502,0.902686205894,./logs/50814b0e-318c-11e8-ac9d-d094662bd47d/best_model_12_2.h5
cnn,all,pca,30,origin,12.651985679400001,12.686453359000001,12.5685711276,0.0950965415955,0.704641064751,0.155270677261,0.909296121295,./logs/50814b0e-318c-11e8-ac9d-d094662bd47d/best_model_14_2.h5
cnn,all,pca,18,origin,12.167470570199999,12.1205153115,12.836802665999999,0.08039740818369999,0.6725148486049999,0.15582498779999998,0.908107574899,./logs/50814b0e-318c-11e8-ac9d-d094662bd47d/best_model_8_2.h5
cnn,all,pca,22,origin,11.2825183378,11.3669140514,12.9890364067,0.0798662104791,0.645092624438,0.157805415183,0.8738501445200001,./logs/50814b0e-318c-11e8-ac9d-d094662bd47d/best_model_10_1.h5
cnn,all,tca,2,origin,17.280902312200002,16.9575119526,15.5739674591,0.17142681894900005,0.8296888307879999,0.22179580354000009,1.05115875192,./logs/0aa37c0a-316a-11e8-ad1e-d094662bd47d/best_model_2_3.h5
